Qex_time,Qex_flow
0.0,1e-06
5.0,2e-06
10.0,1.1e-05
15.0,0.0
20.0,0.0
25.0,1e-06
30.0,0.0
35.0,0.0
40.0,8e-06
45.0,0.0
50.0,1e-06
55.0,1.1e-05
60.0,1e-06
65.0,0.0
70.0,6e-06
75.0,0.0
80.0,0.0
85.0,1e-06
90.0,0.0
95.0,0.0
100.0,5e-06
105.0,0.0
110.0,0.0
115.0,0.0
120.0,0.0
125.0,0.0
130.0,2e-06
135.0,0.0
140.0,0.0
145.0,2e-06
150.0,0.0
155.0,0.0
160.0,1.6e-05
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,5e-06
195.0,0.0
200.0,0.0
205.0,2e-06
210.0,2e-06
215.0,0.0
220.0,5e-06
225.0,0.0
230.0,0.0
235.0,6e-06
240.0,0.0
245.0,0.0
250.0,6e-06
255.0,0.0
260.0,8.999999999999999e-06
265.0,1.9000000000000004e-05
270.0,0.0
275.0,4e-06
280.0,1e-05
285.0,1e-06
290.0,0.0
295.0,0.0
300.0,0.0
305.0,3e-06
310.0,1.7999999999999997e-05
315.0,4e-06
320.0,1.4e-05
325.0,0.0
330.0,0.0
335.0,5e-06
340.0,8e-06
345.0,0.0
350.0,1e-05
355.0,5e-06
360.0,0.0
365.0,3e-06
370.0,5e-06
375.0,1e-06
380.0,8e-06
385.0,1.6e-05
390.0,0.0
395.0,1.6e-05
400.0,8e-06
405.0,1e-06
410.0,3e-06
415.0,1e-06
420.0,0.0
425.0,0.0
430.0,3e-06
435.0,0.0
440.0,4e-06
445.0,5e-06
450.0,0.0
455.0,8e-06
460.0,5e-06
465.0,0.0
470.0,2e-06
475.0,1.5e-05
480.0,0.0
485.0,7e-06
490.0,1e-06
495.0,0.0
500.0,0.0
505.0,1.3e-05
510.0,0.0
515.0,7e-06
520.0,5e-06
525.0,0.0
530.0,0.0
535.0,3e-06
540.0,0.0
545.0,2e-06
550.0,1e-05
555.0,0.0
560.0,2e-06
565.0,7e-06
570.0,0.0
575.0,0.0
580.0,1e-05
585.0,1e-06
590.0,7e-06
595.0,5e-06
600.0,0.0
605.0,0.0
610.0,7e-06
615.0,0.0
620.0,2e-06
625.0,1.7e-05
630.0,0.0
635.0,1e-06
640.0,8.999999999999999e-06
645.0,0.0
650.0,0.0
655.0,8e-06
660.0,0.0
665.0,4e-06
670.0,8e-06
675.0,0.0
680.0,0.0
685.0,2e-06
690.0,0.0
695.0,2e-06
700.0,5e-06
705.0,0.0
710.0,1e-06
715.0,1.1e-05
720.0,0.0
725.0,1e-06
730.0,1.1e-05
735.0,0.0
740.0,4e-06
745.0,7e-06
750.0,0.0
755.0,5e-06
760.0,5e-06
765.0,0.0
770.0,0.0
775.0,1.4e-05
780.0,1e-06
785.0,0.0
790.0,5e-06
795.0,0.0
800.0,3e-06
805.0,6e-06
810.0,0.0
815.0,1e-06
820.0,1.9000000000000004e-05
825.0,1e-06
830.0,2e-06
835.0,1.9000000000000004e-05
840.0,1.1e-05
845.0,1.5e-05
850.0,1.2e-05
855.0,0.0
860.0,5e-06
865.0,5e-06
870.0,2e-06
875.0,5e-06
880.0,5e-06
885.0,0.0
890.0,1e-06
895.0,4e-06
900.0,0.0
905.0,4e-06
910.0,1e-05
915.0,0.0
920.0,2e-06
925.0,0.0
930.0,0.0
935.0,2.3e-05
940.0,6e-06
945.0,0.0
950.0,6e-06
955.0,0.0
960.0,0.0
965.0,1.5e-05
970.0,0.0
975.0,0.0
980.0,1e-06
985.0,0.0
990.0,0.0
995.0,2e-06
1000.0,0.0
1005.0,0.0
1010.0,0.0
1015.0,0.0
1020.0,0.0
1025.0,0.0
1030.0,0.0
1035.0,0.0
1040.0,1e-06
1045.0,0.0
1050.0,0.0
1055.0,1e-06
1060.0,0.0
1065.0,0.0
1070.0,2e-06
1075.0,0.0
1080.0,0.0
1085.0,0.0
1090.0,0.0
1095.0,0.0
1100.0,7e-06
1105.0,1e-06
1110.0,0.0
1115.0,0.0
1120.0,0.0
1125.0,0.0
1130.0,2e-06
