,0
284,9.867834106175435e-08
285,9.867834106175435e-08
286,1.767331459149903e-08
287,1.767331459149903e-08
288,1.767331459149903e-08
289,7.723551417817357e-09
290,3.53356890459364e-09
291,7.723551417817357e-09
292,5.759717314487635e-09
293,5.759717314487635e-09
294,5.759717314487635e-09
295,5.759717314487635e-09
296,3.53356890459364e-09
297,3.53356890459364e-09
298,5.360772088587103e-09
299,6.707134224890754e-09
300,1.0126200625640326e-08
301,1.0126200625640326e-08
302,5.759717314487635e-09
303,5.759717314487635e-09
304,5.759717314487635e-09
305,3.53356890459364e-09
306,3.53356890459364e-09
307,3.53356890459364e-09
308,3.53356890459364e-09
309,4.805101133544879e-09
310,1.668685322057672e-08
311,4.805101133544879e-09
312,1.4365334683737673e-08
313,5.759717314487635e-09
314,5.759717314487635e-09
315,5.759717314487635e-09
316,5.759717314487635e-09
317,2.3510187352895145e-08
318,3.657705667434718e-08
319,3.7302341045341374e-08
320,4.7131085556829055e-08
321,4.7131085556829055e-08
322,5.2482131558689206e-08
323,1.7156807560628424e-08
324,1.3661620962894759e-08
325,3.53356890459364e-09
326,5.759717314487635e-09
327,5.759717314487635e-09
328,5.759717314487635e-09
329,5.759717314487635e-09
330,5.759717314487635e-09
331,5.759717314487635e-09
332,4.6753120576771426e-09
333,4.6753120576771426e-09
334,5.336532457265283e-09
335,3.53356890459364e-09
336,5.336532457265283e-09
337,5.759717314487635e-09
338,3.53356890459364e-09
339,5.759717314487635e-09
340,3.53356890459364e-09
341,3.53356890459364e-09
342,3.53356890459364e-09
343,5.759717314487635e-09
344,5.759717314487635e-09
345,3.53356890459364e-09
346,3.53356890459364e-09
347,3.53356890459364e-09
348,8.677667442574228e-09
349,1.9162146463442344e-08
350,8.677667442574228e-09
351,1.6782845668750057e-08
352,5.759717314487635e-09
353,5.759717314487635e-09
354,5.759717314487635e-09
355,5.759717314487635e-09
356,5.759717314487635e-09
357,5.759717314487635e-09
358,5.759717314487635e-09
359,5.759717314487635e-09
360,3.53356890459364e-09
361,3.53356890459364e-09
362,4.462195599243937e-09
363,9.544634252012711e-09
364,1.8656402192066363e-08
365,9.544634252012711e-09
366,1.204683717835964e-08
367,5.759717314487635e-09
368,5.759717314487635e-09
369,5.759717314487635e-09
370,3.53356890459364e-09
371,3.53356890459364e-09
372,3.53356890459364e-09
373,5.759717314487635e-09
374,5.759717314487635e-09
375,5.759717314487635e-09
376,3.53356890459364e-09
377,3.53356890459364e-09
378,4.217772518869673e-09
379,1.3246256682937154e-08
380,4.217772518869673e-09
381,1.9072772042390503e-08
382,5.759717314487635e-09
383,3.53356890459364e-09
384,5.759717314487635e-09
385,5.759717314487635e-09
386,5.759717314487635e-09
387,5.759717314487635e-09
388,3.53356890459364e-09
389,3.53356890459364e-09
390,4.525252092607007e-09
391,4.525252092607007e-09
392,5.759717314487635e-09
393,5.759717314487635e-09
394,5.759717314487635e-09
395,3.3389346579026316e-08
396,4.627483393563268e-08
397,4.627483393563268e-08
398,5.759717314487635e-09
399,5.759717314487635e-09
400,3.53356890459364e-09
401,5.909046894390767e-09
402,3.53356890459364e-09
403,1.1386667151057916e-08
404,5.759717314487635e-09
405,5.759717314487635e-09
406,5.759717314487635e-09
407,5.759717314487635e-09
408,3.53356890459364e-09
409,3.53356890459364e-09
410,1.0421459203121773e-08
411,3.53356890459364e-09
412,5.759717314487635e-09
413,5.759717314487635e-09
414,3.53356890459364e-09
415,3.53356890459364e-09
416,8.954101953840966e-09
417,3.53356890459364e-09
418,3.3864551247643434e-08
419,5.759717314487635e-09
420,5.759717314487635e-09
421,5.759717314487635e-09
422,3.53356890459364e-09
423,3.53356890459364e-09
424,2.35486281954524e-08
425,2.35486281954524e-08
426,5.759717314487635e-09
427,5.759717314487635e-09
428,2.816203250040681e-08
429,2.816203250040681e-08
430,4.1199838041205386e-08
431,3.53356890459364e-09
432,5.759717314487635e-09
433,5.759717314487635e-09
434,4.101296629254458e-08
435,4.101296629254458e-08
436,4.101296629254458e-08
437,3.419276499424281e-08
438,6.7816758535723325e-09
439,6.7816758535723325e-09
440,3.089804509617991e-08
441,3.089804509617991e-08
442,3.53356890459364e-09
443,3.53356890459364e-09
444,2.6709110926970073e-08
445,4.1314262623106744e-08
446,4.1314262623106744e-08
447,2.5618385554981925e-08
448,2.5618385554981925e-08
449,3.854829675811006e-09
450,2.567475794952762e-08
451,1.2932296379345086e-08
452,2.698148256940318e-08
453,1.2932296379345086e-08
454,4.4837494805484894e-08
455,4.4837494805484894e-08
456,5.006179698288043e-08
457,5.006179698288043e-08
458,3.171391822728711e-08
459,3.7682699190915835e-09
460,3.171391822728711e-08
461,3.53356890459364e-09
462,3.53356890459364e-09
463,3.53356890459364e-09
464,3.53356890459364e-09
465,3.53356890459364e-09
466,4.956726850047189e-09
467,5.759717314487635e-09
468,5.759717314487635e-09
469,5.759717314487635e-09
470,3.050766010062756e-08
471,3.050766010062756e-08
472,3.53356890459364e-09
473,5.759717314487635e-09
474,3.53356890459364e-09
475,1.1897217459692495e-08
476,1.1897217459692495e-08
477,1.1897217459692495e-08
478,1.1897217459692495e-08
479,1.1897217459692495e-08
480,1.1897217459692495e-08
481,1.1897217459692495e-08
482,4.1962397919636475e-08
483,4.1962397919636475e-08
484,2.910195452165327e-08
485,8.481166654933606e-09
486,6.2616411623095144e-09
487,6.306962763066445e-09
488,3.53356890459364e-09
489,6.306962763066445e-09
490,2.809432227451071e-08
491,2.809432227451071e-08
492,1.611084756017206e-08
493,5.58513712613868e-09
494,5.759717314487635e-09
495,3.53356890459364e-09
496,3.53356890459364e-09
497,3.53356890459364e-09
498,1.0366986352321796e-08
499,1.0366986352321796e-08
500,1.6750815245807703e-08
501,1.6750815245807703e-08
502,5.472335494554334e-09
503,5.759717314487635e-09
504,5.472335494554334e-09
505,2.3610203878799637e-08
506,2.3610203878799637e-08
507,2.3610203878799637e-08
508,5.243590507403315e-09
509,3.53356890459364e-09
510,5.759717314487635e-09
511,3.53356890459364e-09
512,5.759717314487635e-09
513,3.53356890459364e-09
514,3.53356890459364e-09
515,3.53356890459364e-09
516,9.31905356172441e-09
517,1.571844912236098e-08
518,2.8929823587857973e-08
519,2.8929823587857973e-08
520,3.53356890459364e-09
521,5.759717314487635e-09
